,index,fn,tid,title,wordsInTitle,url,imdbRating,ratingCount,duration,year,type,nrOfWins,nrOfNominations,nrOfPhotos,nrOfNewsArticles,nrOfUserReviews,nrOfGenre,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,FilmNoir,GameShow,History,Horror,Music,Musical,Mystery,News,RealityTV,Romance,SciFi,Short,Sport,TalkShow,Thriller,War,Western,emotion
10,177,titles01/tt0211915,tt0211915,Die fabelhafte Welt der Amelie (2001),die fabelhafte welt der amelie,http://www.imdb.com/title/tt0211915/,8.5,380600.0,7320.0,2001.0,video.movie,54,50,57,359,1255,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,happy
11,182,titles01/tt0266543,tt0266543,Findet Nemo (2003),findet nemo,http://www.imdb.com/title/tt0266543/,8.2,451631.0,6000.0,2003.0,video.movie,37,37,92,2563,804,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,happy
12,204,titles01/tt0435761,tt0435761,Toy Story 3 (2010),toy story,http://www.imdb.com/title/tt0435761/,8.5,356405.0,6180.0,2010.0,video.movie,36,44,97,5842,657,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,happy
13,214,titles01/tt0892769,tt0892769,Drachenzähmen leicht gemacht (2010),drachenz hmen leicht gemacht,http://www.imdb.com/title/tt0892769/,8.2,285643.0,5880.0,2010.0,video.movie,19,32,51,3545,414,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,happy
14,218,titles01/tt0993846,tt0993846,The Wolf of Wall Street (2013),the wolf of wall street,http://www.imdb.com/title/tt0993846/,8.4,285401.0,10800.0,2013.0,video.movie,17,62,73,3597,779,3,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,happy
15,224,titles01/tt1187043,tt1187043,3 Idiots (2009),idiots,http://www.imdb.com/title/tt1187043/,8.5,103975.0,10200.0,2009.0,video.movie,20,13,20,10,267,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,happy
16,236,titles01/tt1490017,tt1490017,Lego (2014),lego,http://www.imdb.com/title/tt1490017/,8.3,52708.0,6000.0,2014.0,video.movie,1,0,42,1651,225,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,happy
17,239,titles01/tt1675434,tt1675434,Ziemlich beste Freunde (2011),ziemlich beste freunde,http://www.imdb.com/title/tt1675434/,8.6,286016.0,6720.0,2011.0,video.movie,25,31,18,457,245,3,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,happy
18,329,titles02/index.html.117,tt0091167,Hannah und ihre Schwestern (1986),hannah und ihre schwestern,http://www.imdb.com/title/tt0091167/,8.0,41610.0,6180.0,1986.0,video.movie,26,20,46,369,156,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,happy
19,340,titles02/index.html.12,tt0097123,Verbrechen und andere Kleinigkeiten (1989),verbrechen und andere kleinigkeiten,http://www.imdb.com/title/tt0097123/,8.1,34554.0,6240.0,1989.0,video.movie,13,17,23,123,151,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,happy
